path,count,file_count,types,droidbot_count,haptest_count,sample1,sample2,sample3
to.viewTree.root.children[].children[].children[].origBounds[].x,910,103,int,0,910,52,852,852
to.viewTree.root.children[].children[].children[].origBounds[].y,910,103,int,0,910,173,261,152
from.viewTree.root.children[].children[].children[].bounds[].x,902,102,int,0,902,52,852,852
from.viewTree.root.children[].children[].children[].bounds[].y,902,102,int,0,902,173,261,152
from.viewTree.root.children[].children[].children[].origBounds[].x,902,102,int,0,902,52,852,852
from.viewTree.root.children[].children[].children[].origBounds[].y,902,102,int,0,902,173,261,152
to.viewTree.root.children[].children[].children[].children[].bounds,865,103,list,0,865,,,
to.viewTree.root.children[].children[].children[].children[].bounds[],865,103,list,0,865,,,
to.viewTree.root.children[].children[].children[].children[].checkable,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].checked,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].children,865,103,list,0,865,,,
to.viewTree.root.children[].children[].children[].children[].children[],865,103,list,0,865,,,
to.viewTree.root.children[].children[].children[].children[].clickable,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].enabled,865,103,bool,0,865,True,True,True
to.viewTree.root.children[].children[].children[].children[].focused,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].hint,865,103,str,0,865,'','',''
to.viewTree.root.children[].children[].children[].children[].id,865,103,str,0,865,'','',''
to.viewTree.root.children[].children[].children[].children[].key,865,103,str,0,865,'','',''
to.viewTree.root.children[].children[].children[].children[].longClickable,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].origBounds,865,103,list,0,865,,,
to.viewTree.root.children[].children[].children[].children[].origBounds[],865,103,list,0,865,,,
to.viewTree.root.children[].children[].children[].children[].scrollable,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].selected,865,103,bool,0,865,False,False,False
to.viewTree.root.children[].children[].children[].children[].text,865,103,str,0,865,'','',''
to.viewTree.root.children[].children[].children[].children[].type,865,103,str,0,865,'SymbolGlyph','SymbolGlyph','SymbolGlyph'
to.viewTree.root.children[].children[].children[].children[].visible,865,103,bool,0,865,True,True,True
from.viewTree.root.children[].children[].children[].children[].bounds,856,102,list,0,856,,,
from.viewTree.root.children[].children[].children[].children[].bounds[],856,102,list,0,856,,,
from.viewTree.root.children[].children[].children[].children[].checkable,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].checked,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].children,856,102,list,0,856,,,
from.viewTree.root.children[].children[].children[].children[].children[],856,102,list,0,856,,,
from.viewTree.root.children[].children[].children[].children[].clickable,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].enabled,856,102,bool,0,856,True,True,True
from.viewTree.root.children[].children[].children[].children[].focused,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].hint,856,102,str,0,856,'','',''
from.viewTree.root.children[].children[].children[].children[].id,856,102,str,0,856,'','',''
from.viewTree.root.children[].children[].children[].children[].key,856,102,str,0,856,'','',''
from.viewTree.root.children[].children[].children[].children[].longClickable,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].origBounds,856,102,list,0,856,,,
from.viewTree.root.children[].children[].children[].children[].origBounds[],856,102,list,0,856,,,
from.viewTree.root.children[].children[].children[].children[].scrollable,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].selected,856,102,bool,0,856,False,False,False
from.viewTree.root.children[].children[].children[].children[].text,856,102,str,0,856,'','',''
from.viewTree.root.children[].children[].children[].children[].type,856,102,str,0,856,'SymbolGlyph','SymbolGlyph','SymbolGlyph'
from.viewTree.root.children[].children[].children[].children[].visible,856,102,bool,0,856,True,True,True
to.viewTree.root.children[].children[].children[].bounds,455,103,list,0,455,,,
to.viewTree.root.children[].children[].children[].bounds[],455,103,list,0,455,,,
to.viewTree.root.children[].children[].children[].checkable,455,103,bool,0,455,False,False,False
to.viewTree.root.children[].children[].children[].checked,455,103,bool,0,455,False,False,False
to.viewTree.root.children[].children[].children[].children,455,103,list,0,455,,,
to.viewTree.root.children[].children[].children[].children[],455,103,list,0,455,,,
to.viewTree.root.children[].children[].children[].clickable,455,103,bool,0,455,False,True,True
to.viewTree.root.children[].children[].children[].enabled,455,103,bool,0,455,True,True,True
to.viewTree.root.children[].children[].children[].focused,455,103,bool,0,455,False,False,False
to.viewTree.root.children[].children[].children[].hint,455,103,str,0,455,'','',''
to.viewTree.root.children[].children[].children[].id,455,103,str,0,455,'','',''
to.viewTree.root.children[].children[].children[].key,455,103,str,0,455,'','',''
to.viewTree.root.children[].children[].children[].longClickable,455,103,bool,0,455,False,False,False
to.viewTree.root.children[].children[].children[].origBounds,455,103,list,0,455,,,
to.viewTree.root.children[].children[].children[].origBounds[],455,103,list,0,455,,,
to.viewTree.root.children[].children[].children[].scrollable,455,103,bool,0,455,False,False,False
to.viewTree.root.children[].children[].children[].selected,455,103,bool,0,455,False,False,False
to.viewTree.root.children[].children[].children[].text,455,103,str,0,455,'联系人','',''
to.viewTree.root.children[].children[].children[].type,455,103,str,0,455,'Text','Row','Row'
to.viewTree.root.children[].children[].children[].visible,455,103,bool,0,455,True,True,True
from.viewTree.root.children[].children[].children[].bounds,451,102,list,0,451,,,
from.viewTree.root.children[].children[].children[].bounds[],451,102,list,0,451,,,
from.viewTree.root.children[].children[].children[].checkable,451,102,bool,0,451,False,False,False
from.viewTree.root.children[].children[].children[].checked,451,102,bool,0,451,False,False,False
from.viewTree.root.children[].children[].children[].children,451,102,list,0,451,,,
from.viewTree.root.children[].children[].children[].children[],451,102,list,0,451,,,
from.viewTree.root.children[].children[].children[].clickable,451,102,bool,0,451,False,True,True
from.viewTree.root.children[].children[].children[].enabled,451,102,bool,0,451,True,True,True
